"partnerId","violation","violation_count"
"15047","UnknownCurrency","2254204"
"15579","UnknownCurrency","1058822"
"15605","EmptyDataReceived","393932"
"15754","BadCpm","388184"
"15002","InvalidIp","267509"
"15871","EmptyDataReceived","234758"
,"PartnerIsNull","151147"
,"EmptyDataReceived","151036"
,"MissingImpressionsCountParamRequest","151035"
"15899","UnknownCurrency","135932"
"15750","BadCpm","133019"
"15905","EmptyDataReceived","77163"
"15945","EmptyDataReceived","63963"
"15857","BadCpm","28923"
"15617","UnknownCurrency","19572"
"15391","BadCpm","12996"
"15127","BadCpm","9772"
"15819","MissingCpm","5288"
"15944","BadCpm","3849"
"15605","InvalidIp","3085"
,"UnsupportedHttpMethod","2886"
"15579","BadCpm","1672"
"15605","FailedConvertPayloadToJson","665"
"15750","InternalServerError","610"
"15822","InternalServerError","608"
"15605","ABIdentifiersAreBothMissing","438"
"15281","InternalServerError","211"
"15867","InvalidIp","162"
"15827","FailedConvertPayloadToJson","137"
"15927","BadCpm","133"
"15047","BadCpm","102"
"15804","BadCpm","79"
"15814","InternalServerError","76"
"15867","BadCpm","75"
"15855","InvalidIp","64"
"15824","InternalServerError","62"
"15905","InvalidIp","59"
"15287","BadCpm","59"
,"FailedToConvertPayloadToJsonArray","53"
"15579","UnsupportedHttpMethod","44"
"15195","UnknownCurrency","43"
"15930","BadCpm","40"
"15899","BadCpm","39"
"15905","ABIdentifiersAreBothMissing","37"
"15617","BadCpm","35"
"15871","InvalidIp","34"
"15318","InternalServerError","33"
"15831","InternalServerError","33"
"15400","UnknownCurrency","30"
"15827","InvalidIp","30"
"15882","InternalServerError","25"
"15398","UnsupportedHttpMethod","19"
"15958","InternalServerError","18"
"15283","UnsupportedHttpMethod","18"
"15958","MissingCpm","18"
"15862","InternalServerError","17"
"15283","UnknownCurrency","17"
"15927","InternalServerError","17"
"15814","UnsupportedHttpMethod","16"
"15864","FailedConvertPayloadToJson","16"
"15945","InvalidIp","15"
"15754","InternalServerError","13"
"15154","UnsupportedHttpMethod","12"
"15381","BadCpm","12"
"15934","BadCpm","11"
"15903","InternalServerError","9"
"15680","InternalServerError","9"
"15696","EmptyDataReceived","9"
"15579","FailedToConvertPayloadToJsonArray","8"
"15696","InternalServerError","8"
"15899","InternalServerError","8"
"15864","ABIdentifiersAreBothMissing","6"
"15283","InternalServerError","6"
"15905","FailedConvertPayloadToJson","6"
"15398","FailedToConvertPayloadToJsonArray","6"
"15812","BadCpm","5"
"15391","FailedToConvertPayloadToJsonArray","5"
"15127","FailedToConvertPayloadToJsonArray","4"
"15814","FailedToConvertPayloadToJsonArray","4"
"15871","FailedConvertPayloadToJson","3"
"15623","BadCpm","3"
"15946","UnsupportedHttpMethod","3"
"15871","ABIdentifiersAreBothMissing","3"
"15195","UnsupportedHttpMethod","2"
"134","MissingCurrency","2"
"15281","BadCpm","2"
"15047","FailedToConvertPayloadToJsonArray","2"
"15899","FailedToConvertPayloadToJsonArray","2"
"15381","FailedToConvertPayloadToJsonArray","2"
"15822","FailedToConvertPayloadToJsonArray","2"
"15195","FailedToConvertPayloadToJsonArray","2"
"134","MissingCpm","2"
"15400","FailedToConvertPayloadToJsonArray","1"
"15072","InternalServerError","1"
"15154","FailedToConvertPayloadToJsonArray","1"
"15281","FailedToConvertPayloadToJsonArray","1"
"15162","FailedToConvertPayloadToJsonArray","1"
"15822","UnsupportedHttpMethod","1"
"15696","FailedToConvertPayloadToJsonArray","1"
"15617","InternalServerError","1"
"15318","FailedToConvertPayloadToJsonArray","1"
"15792","UnsupportedHttpMethod","1"
"15318","UnsupportedHttpMethod","1"
"15814","MissingCurrency","1"
"15717","FailedToConvertPayloadToJsonArray","1"
"15876","BadCpm","1"
"15943","InternalServerError","1"
"15658","FailedToConvertPayloadToJsonArray","1"
"15002","FailedConvertPayloadToJson","1"
"15809","InternalServerError","1"
"15047","UnsupportedHttpMethod","1"
