"partnerId","violation","violation_count"
"15002","InvalidIp","254647"
"15002","FailedConvertPayloadToJson","11"
"15047","UnknownCurrency","3185844"
"15047","BadCpm","79"
"15047","UnsupportedHttpMethod","1"
"15047","FailedToConvertPayloadToJsonArray","1"
"15072","InternalServerError","99"
"15072","BadCpm","10"
"15127","BadCpm","5401"
"15127","FailedToConvertPayloadToJsonArray","8"
"15154","UnsupportedHttpMethod","9"
"15195","UnknownCurrency","28"
"15195","FailedToConvertPayloadToJsonArray","3"
"15195","UnsupportedHttpMethod","2"
"15281","InternalServerError","258"
"15281","BadCpm","2"
"15281","FailedToConvertPayloadToJsonArray","2"
"15283","InternalServerError","6"
"15283","UnknownCurrency","3"
"15283","UnsupportedHttpMethod","2"
"15287","BadCpm","6"
"15318","InternalServerError","26"
"15381","BadCpm","12"
"15381","FailedToConvertPayloadToJsonArray","3"
"15389","UnsupportedHttpMethod","206"
"15391","BadCpm","13927"
"15391","FailedToConvertPayloadToJsonArray","5"
"15398","FailedToConvertPayloadToJsonArray","9"
"15400","UnknownCurrency","1730"
"15400","FailedToConvertPayloadToJsonArray","1"
"15579","UnknownCurrency","105251"
"15579","BadCpm","2135"
"15579","FailedToConvertPayloadToJsonArray","2"
"15605","EmptyDataReceived","252607"
"15605","InvalidIp","3087"
"15605","FailedConvertPayloadToJson","689"
"15605","ABIdentifiersAreBothMissing","421"
"15617","UnknownCurrency","1479905"
"15617","BadCpm","3962"
"15617","InternalServerError","22"
"15617","UnsupportedHttpMethod","15"
"15617","FailedToConvertPayloadToJsonArray","8"
"15623","BadCpm","43"
"15658","InternalServerError","18"
"15672","MissingCurrency","1"
"15696","InternalServerError","19"
"15696","UnsupportedHttpMethod","5"
"15717","FailedToConvertPayloadToJsonArray","1"
"15750","BadCpm","141766"
"15750","InternalServerError","1015"
"15750","UnsupportedHttpMethod","3"
"15754","BadCpm","8450"
"15754","InternalServerError","48"
"15777","UnsupportedHttpMethod","2"
"15792","EmptyDataReceived","17"
"15792","UnsupportedHttpMethod","11"
"15792","BadCpm","1"
"15804","BadCpm","142"
"15804","EmptyDataReceived","48"
"15809","InternalServerError","11"
"15809","UnsupportedHttpMethod","1"
"15812","BadCpm","2"
"15814","MissingCurrency","558"
"15814","InternalServerError","252"
"15814","FailedToConvertPayloadToJsonArray","12"
"15814","UnsupportedHttpMethod","6"
"15819","MissingCpm","5477"
"15822","InternalServerError","664"
"15824","InternalServerError","60"
"15827","InvalidIp","6"
"15831","InternalServerError","63"
"15855","InvalidIp","58"
"15855","ABIdentifiersAreBothMissing","2"
"15857","BadCpm","23910"
"15862","InternalServerError","1"
"15864","FailedConvertPayloadToJson","21"
"15867","InvalidIp","151"
"15867","BadCpm","68"
"15871","EmptyDataReceived","264197"
"15871","InvalidIp","24"
"15871","FailedConvertPayloadToJson","7"
"15871","ABIdentifiersAreBothMissing","1"
"15882","InternalServerError","15"
"15899","UnknownCurrency","296312"
"15899","BadCpm","37"
"15899","FailedToConvertPayloadToJsonArray","1"
"15899","InternalServerError","1"
"15903","InternalServerError","38"
"15905","EmptyDataReceived","26754"
"15905","InvalidIp","50"
"15905","ABIdentifiersAreBothMissing","30"
"15905","FailedConvertPayloadToJson","2"
"15927","BadCpm","895"
"15927","InternalServerError","22"
"15930","BadCpm","86"
"15930","FailedConvertPayloadToJson","3"
"15943","UnsupportedHttpMethod","1"
"15944","BadCpm","2542"
"15945","EmptyDataReceived","20330"
"15945","InvalidIp","3"
"15958","MissingCpm","33"
"15958","InternalServerError","10"
"15958","MissingCurrency","1"
"15979","MissingCurrency","2207"
"15979","InternalServerError","43"
"15979","UnsupportedHttpMethod","9"
,"PartnerIsNull","118913"
,"MissingImpressionsCountParamRequest","118836"
,"EmptyDataReceived","118836"
,"UnsupportedHttpMethod","3037"
,"FailedToConvertPayloadToJsonArray","37"
