"partnerId","violation","violation_count"
"15047","UnknownCurrency","5768539"
"15617","UnknownCurrency","2176178"
"15871","EmptyDataReceived","354749"
"15899","UnknownCurrency","306868"
"15605","EmptyDataReceived","274323"
"15002","InvalidIp","199688"
"15750","OutOfRangeCpm","140943"
"15579","UnknownCurrency","95812"
"15905","EmptyDataReceived","39652"
"15945","EmptyDataReceived","23793"
"15754","OutOfRangeCpm","9780"
"15857","OutOfRangeCpm","7960"
"15391","OutOfRangeCpm","7623"
"15819","MissingCpm","5018"
"15127","OutOfRangeCpm","3753"
"15944","OutOfRangeCpm","3293"
"15617","OutOfRangeCpm","2756"
"15605","InvalidIp","2493"
"15979","MissingCurrency","2244"
"15822","InternalServerError","1817"
"15927","OutOfRangeCpm","1775"
"15400","UnknownCurrency","1441"
"15579","OutOfRangeCpm","1029"
"15750","InternalServerError","884"
"15814","MissingCurrency","597"
"15605","FailedConvertPayloadToJson","542"
"15287","OutOfRangeCpm","271"
"15281","InternalServerError","260"
"15389","UnsupportedHttpMethod","193"
"15930","OutOfRangeCpm","172"
"15047","OutOfRangeCpm","146"
"15814","InternalServerError","123"
"15927","InternalServerError","117"
,"PartnerIsNull","101"
"15899","OutOfRangeCpm","88"
"15072","InternalServerError","76"
"15867","InvalidIp","73"
"15903","InternalServerError","65"
"15905","InvalidIp","60"
,"FailedToConvertPayloadToJsonArray","57"
"15867","OutOfRangeCpm","57"
"15824","InternalServerError","48"
"15195","UnknownCurrency","47"
"15804","OutOfRangeCpm","43"
"15831","InternalServerError","41"
"15871","InvalidIp","35"
"15072","EmptyDataReceived","25"
"15754","InternalServerError","24"
"15814","UnsupportedHttpMethod","21"
"15864","FailedConvertPayloadToJson","20"
"15318","InternalServerError","20"
"15002","FailedConvertPayloadToJson","17"
"15283","UnsupportedHttpMethod","16"
"15617","InternalServerError","15"
"15283","UnknownCurrency","14"
"15958","MissingCpm","14"
"15381","OutOfRangeCpm","14"
"15281","UnsupportedHttpMethod","12"
"15882","InternalServerError","11"
"15876","OutOfRangeCpm","11"
"15804","EmptyDataReceived","10"
"15979","InternalServerError","9"
"15809","InternalServerError","7"
"15958","InternalServerError","6"
"15047","UnsupportedHttpMethod","6"
"15827","InvalidIp","6"
"15617","FailedToConvertPayloadToJsonArray","6"
"15154","FailedToConvertPayloadToJsonArray","5"
"15389","UnknownCurrency","5"
"15814","FailedToConvertPayloadToJsonArray","5"
"15979","UnsupportedHttpMethod","5"
"15195","FailedToConvertPayloadToJsonArray","4"
"15871","FailedConvertPayloadToJson","4"
"15623","OutOfRangeCpm","4"
"15905","FailedConvertPayloadToJson","4"
"15855","InvalidIp","4"
"15804","UnsupportedHttpMethod","3"
"15072","OutOfRangeCpm","3"
"15804","FailedToConvertPayloadToJsonArray","3"
"15607","FailedToConvertPayloadToJsonArray","3"
"15283","FailedToConvertPayloadToJsonArray","3"
"15391","FailedToConvertPayloadToJsonArray","3"
"15195","UnsupportedHttpMethod","3"
"15750","UnsupportedHttpMethod","3"
"15381","FailedToConvertPayloadToJsonArray","3"
"15281","OutOfRangeCpm","3"
"15283","InternalServerError","2"
"15127","FailedToConvertPayloadToJsonArray","2"
"15945","InvalidIp","2"
"15827","FailedConvertPayloadToJson","2"
"15943","InternalServerError","2"
"15399","UnknownCurrency","2"
"15672","MissingCurrency","1"
"15696","InternalServerError","1"
"15318","FailedToConvertPayloadToJsonArray","1"
"15831","FailedToConvertPayloadToJsonArray","1"
"15318","UnsupportedHttpMethod","1"
"15899","InternalServerError","1"
"15871","OutOfRangeCpm","1"
"15195","OutOfRangeCpm","1"
"15281","FailedToConvertPayloadToJsonArray","1"
"15398","FailedToConvertPayloadToJsonArray","1"
"15899","FailedToConvertPayloadToJsonArray","1"
"15792","FailedToConvertPayloadToJsonArray","1"
,"MissingImpressionsCountParamRequest","0"
,"EmptyDataReceived","0"
,"UnsupportedHttpMethod","0"
