"partnerId","violation","violation_count"
"15002","InvalidIp","292393"
"15002","FailedConvertPayloadToJson","11"
"15047","UnknownCurrency","3510231"
"15047","BadCpm","59"
"15047","OutOfRangeCpm","30"
"15047","UnsupportedHttpMethod","9"
"15072","BadCpm","127"
"15072","InternalServerError","101"
"15072","OutOfRangeCpm","1"
"15127","OutOfRangeCpm","3189"
"15127","BadCpm","1914"
"15127","FailedToConvertPayloadToJsonArray","7"
"15195","UnknownCurrency","14"
"15195","FailedToConvertPayloadToJsonArray","1"
"15281","InternalServerError","304"
"15281","BadCpm","4"
"15281","UnsupportedHttpMethod","4"
"15281","FailedToConvertPayloadToJsonArray","3"
"15281","OutOfRangeCpm","1"
"15283","UnsupportedHttpMethod","53"
"15283","UnknownCurrency","13"
"15283","BadCpm","1"
"15287","OutOfRangeCpm","24"
"15287","BadCpm","9"
"15318","InternalServerError","10"
"15381","OutOfRangeCpm","8"
"15381","BadCpm","6"
"15381","FailedToConvertPayloadToJsonArray","1"
"15389","UnsupportedHttpMethod","56"
"15389","UnknownCurrency","2"
"15391","OutOfRangeCpm","6027"
"15391","BadCpm","5649"
"15391","FailedToConvertPayloadToJsonArray","4"
"15400","UnknownCurrency","1692"
"15400","FailedToConvertPayloadToJsonArray","3"
"15400","BadCpm","1"
"15579","UnknownCurrency","73055"
"15579","BadCpm","3211"
"15579","OutOfRangeCpm","1731"
"15579","FailedToConvertPayloadToJsonArray","1"
"15579","InternalServerError","1"
"15605","EmptyDataReceived","251063"
"15605","InvalidIp","3145"
"15605","FailedConvertPayloadToJson","643"
"15605","ABIdentifiersAreBothMissing","271"
"15617","UnknownCurrency","1419705"
"15617","BadCpm","6473"
"15617","OutOfRangeCpm","3572"
"15617","InternalServerError","12"
"15617","FailedToConvertPayloadToJsonArray","7"
"15617","UnsupportedHttpMethod","3"
"15623","BadCpm","38"
"15623","OutOfRangeCpm","5"
"15672","MissingCurrency","1"
"15696","InternalServerError","10"
"15696","EmptyDataReceived","1"
"15750","OutOfRangeCpm","75095"
"15750","BadCpm","67582"
"15750","InternalServerError","784"
"15754","BadCpm","5265"
"15754","OutOfRangeCpm","3612"
"15754","InternalServerError","13"
"15754","FailedToConvertPayloadToJsonArray","3"
"15754","UnsupportedHttpMethod","2"
"15792","EmptyDataReceived","12"
"15792","FailedToConvertPayloadToJsonArray","2"
"15804","BadCpm","45"
"15804","EmptyDataReceived","40"
"15804","OutOfRangeCpm","12"
"15809","InternalServerError","7"
"15814","MissingCurrency","524"
"15814","InternalServerError","94"
"15814","FailedToConvertPayloadToJsonArray","5"
"15814","UnsupportedHttpMethod","2"
"15819","MissingCpm","4197"
"15822","InternalServerError","631"
"15822","FailedToConvertPayloadToJsonArray","2"
"15824","InternalServerError","41"
"15831","InternalServerError","45"
"15855","InvalidIp","29"
"15857","BadCpm","14016"
"15857","OutOfRangeCpm","2652"
"15857","UnsupportedHttpMethod","1"
"15862","FailedToConvertPayloadToJsonArray","1"
"15864","FailedConvertPayloadToJson","21"
"15867","InvalidIp","72"
"15867","OutOfRangeCpm","37"
"15867","BadCpm","31"
"15871","EmptyDataReceived","302214"
"15871","InvalidIp","26"
"15871","FailedConvertPayloadToJson","9"
"15871","ABIdentifiersAreBothMissing","1"
"15871","BadCpm","1"
"15882","InternalServerError","21"
"15899","UnknownCurrency","314725"
"15899","BadCpm","29"
"15899","OutOfRangeCpm","22"
"15899","InternalServerError","4"
"15899","FailedToConvertPayloadToJsonArray","1"
"15903","InternalServerError","17"
"15905","EmptyDataReceived","31440"
"15905","InvalidIp","42"
"15905","ABIdentifiersAreBothMissing","18"
"15905","FailedConvertPayloadToJson","10"
"15927","OutOfRangeCpm","811"
"15927","BadCpm","604"
"15927","InternalServerError","109"
"15930","OutOfRangeCpm","31"
"15930","BadCpm","30"
"15943","InternalServerError","5"
"15944","OutOfRangeCpm","1257"
"15944","BadCpm","1079"
"15945","EmptyDataReceived","12310"
"15945","InvalidIp","1"
"15945","FailedConvertPayloadToJson","1"
"15948","InternalServerError","2"
"15958","MissingCpm","30"
"15958","InternalServerError","6"
"15979","MissingCurrency","1638"
"15979","InternalServerError","5"
"15979","UnsupportedHttpMethod","2"
"15979","FailedToConvertPayloadToJsonArray","1"
,"PartnerIsNull","118337"
,"EmptyDataReceived","118234"
,"MissingImpressionsCountParamRequest","118233"
,"UnsupportedHttpMethod","2565"
,"FailedToConvertPayloadToJsonArray","27"
