"partnerId","violation","violation_count"
"15002","InvalidIp","299585"
"15002","FailedConvertPayloadToJson","22"
"15047","UnknownCurrency","3144702"
"15047","BadCpm","33"
"15047","UnsupportedHttpMethod","6"
"15047","FailedToConvertPayloadToJsonArray","2"
"15072","InternalServerError","3"
"15072","BadCpm","3"
"15072","UnsupportedHttpMethod","1"
"15072","FailedToConvertPayloadToJsonArray","1"
"15127","BadCpm","8589"
"15127","FailedToConvertPayloadToJsonArray","5"
"15127","OutOfRangeCpm","4"
"15154","FailedToConvertPayloadToJsonArray","2"
"15195","UnknownCurrency","33"
"15195","FailedToConvertPayloadToJsonArray","1"
"15281","InternalServerError","213"
"15281","BadCpm","5"
"15281","UnsupportedHttpMethod","4"
"15283","UnsupportedHttpMethod","19"
"15283","UnknownCurrency","17"
"15283","InternalServerError","6"
"15287","BadCpm","93"
"15296","FailedToConvertPayloadToJsonArray","1"
"15299","FailedToConvertPayloadToJsonArray","24"
"15310","FailedToConvertPayloadToJsonArray","1"
"15318","InternalServerError","40"
"15328","EmptyDataReceived","28"
"15381","BadCpm","15"
"15389","UnsupportedHttpMethod","189"
"15391","BadCpm","13449"
"15391","FailedToConvertPayloadToJsonArray","15"
"15391","OutOfRangeCpm","2"
"15398","FailedToConvertPayloadToJsonArray","4"
"15400","UnknownCurrency","299"
"15400","FailedToConvertPayloadToJsonArray","4"
"15579","UnknownCurrency","1221864"
"15579","BadCpm","2439"
"15579","UnsupportedHttpMethod","80"
"15579","FailedToConvertPayloadToJsonArray","5"
"15579","InternalServerError","1"
"15605","EmptyDataReceived","468855"
"15605","InvalidIp","2575"
"15605","FailedConvertPayloadToJson","562"
"15605","ABIdentifiersAreBothMissing","460"
"15617","UnknownCurrency","22869"
"15617","BadCpm","35"
"15623","BadCpm","59"
"15696","InternalServerError","10"
"15696","EmptyDataReceived","1"
"15750","BadCpm","145201"
"15750","InternalServerError","1032"
"15750","OutOfRangeCpm","107"
"15750","UnsupportedHttpMethod","3"
"15754","BadCpm","9391"
"15754","OutOfRangeCpm","8"
"15754","InternalServerError","7"
"15792","InternalServerError","9"
"15792","UnsupportedHttpMethod","3"
"15792","FailedToConvertPayloadToJsonArray","1"
"15804","BadCpm","318"
"15804","EmptyDataReceived","39"
"15809","InternalServerError","16"
"15812","BadCpm","7"
"15813","FailedToConvertPayloadToJsonArray","2"
"15814","MissingCurrency","613"
"15814","InternalServerError","109"
"15814","FailedToConvertPayloadToJsonArray","5"
"15814","UnsupportedHttpMethod","2"
"15819","MissingCpm","4999"
"15819","InternalServerError","4"
"15822","InternalServerError","527"
"15822","FailedToConvertPayloadToJsonArray","1"
"15824","InternalServerError","46"
"15827","FailedConvertPayloadToJson","202"
"15827","InvalidIp","34"
"15831","InternalServerError","45"
"15855","InvalidIp","14"
"15857","BadCpm","20200"
"15864","FailedConvertPayloadToJson","18"
"15867","InvalidIp","102"
"15867","BadCpm","92"
"15871","EmptyDataReceived","375352"
"15871","InvalidIp","66"
"15871","ABIdentifiersAreBothMissing","9"
"15871","FailedConvertPayloadToJson","8"
"15882","InternalServerError","20"
"15897","InternalServerError","2"
"15899","UnknownCurrency","152104"
"15899","BadCpm","56"
"15899","InternalServerError","1"
"15903","InternalServerError","32"
"15903","BadCpm","1"
"15905","EmptyDataReceived","42533"
"15905","InvalidIp","38"
"15905","ABIdentifiersAreBothMissing","12"
"15905","FailedConvertPayloadToJson","2"
"15910","FailedToConvertPayloadToJsonArray","1"
"15927","BadCpm","139"
"15927","InternalServerError","19"
"15929","FailedConvertPayloadToJson","1"
"15929","UnknownReportType","1"
"15930","ABIdentifiersAreBothMissing","426"
"15930","BadCpm","137"
"15934","BadCpm","10"
"15943","InternalServerError","5"
"15944","BadCpm","3604"
"15945","EmptyDataReceived","18130"
"15945","InvalidIp","3"
"15958","MissingCpm","22"
"15979","MissingCurrency","14"
"15979","InternalServerError","3"
"15979","UnsupportedHttpMethod","1"
,"PartnerIsNull","147960"
,"EmptyDataReceived","147838"
,"MissingImpressionsCountParamRequest","147837"
,"UnsupportedHttpMethod","2665"
,"FailedToConvertPayloadToJsonArray","49"
