"partnerId","violation","violation_count"
"10278","OutOfRangeCpm","1"
"15002","InvalidIp","200734"
"15002","FailedConvertPayloadToJson","12"
"15047","UnknownCurrency","6232938"
"15047","OutOfRangeCpm","115"
"15047","FailedToConvertPayloadToJsonArray","1"
"15047","UnsupportedHttpMethod","1"
"15072","InternalServerError","56"
"15072","OutOfRangeCpm","5"
"15072","FailedToConvertPayloadToJsonArray","3"
"15127","OutOfRangeCpm","6045"
"15127","FailedToConvertPayloadToJsonArray","18"
"15127","UnsupportedHttpMethod","11"
"15154","UnsupportedHttpMethod","18"
"15195","UnknownCurrency","47"
"15195","FailedToConvertPayloadToJsonArray","3"
"15195","UnsupportedHttpMethod","1"
"15238","NullServiceConfig","2"
"15281","InternalServerError","244"
"15281","OutOfRangeCpm","1"
"15283","UnsupportedHttpMethod","12"
"15283","InternalServerError","3"
"15283","FailedToConvertPayloadToJsonArray","2"
"15283","OutOfRangeCpm","1"
"15287","OutOfRangeCpm","7"
"15318","InternalServerError","13"
"15318","UnsupportedHttpMethod","1"
"15318","FailedToConvertPayloadToJsonArray","1"
"15381","OutOfRangeCpm","13"
"15381","UnsupportedHttpMethod","3"
"15381","FailedToConvertPayloadToJsonArray","3"
"15389","UnsupportedHttpMethod","282"
"15391","OutOfRangeCpm","10004"
"15391","FailedToConvertPayloadToJsonArray","5"
"15398","UnsupportedHttpMethod","370"
"15399","UnknownCurrency","3"
"15400","UnknownCurrency","1927"
"15579","UnknownCurrency","71415"
"15579","OutOfRangeCpm","644"
"15605","EmptyDataReceived","298064"
"15605","InvalidIp","2236"
"15605","FailedConvertPayloadToJson","482"
"15607","FailedToConvertPayloadToJsonArray","1"
"15617","UnknownCurrency","1717172"
"15617","OutOfRangeCpm","1537"
"15617","InternalServerError","75"
"15617","UnsupportedHttpMethod","35"
"15617","FailedToConvertPayloadToJsonArray","2"
"15623","OutOfRangeCpm","4"
"15672","MissingCurrency","17"
"15672","InternalServerError","1"
"15696","InternalServerError","4"
"15750","OutOfRangeCpm","150776"
"15750","InternalServerError","823"
"15754","OutOfRangeCpm","8296"
"15754","InternalServerError","10"
"15754","FailedToConvertPayloadToJsonArray","1"
"15792","EmptyDataReceived","24"
"15792","FailedToConvertPayloadToJsonArray","2"
"15804","EmptyDataReceived","46"
"15804","OutOfRangeCpm","43"
"15804","UnsupportedHttpMethod","2"
"15804","FailedToConvertPayloadToJsonArray","2"
"15809","InternalServerError","12"
"15814","MissingCurrency","457"
"15814","InternalServerError","88"
"15814","UnsupportedHttpMethod","3"
"15814","FailedToConvertPayloadToJsonArray","3"
"15814","OutOfRangeCpm","1"
"15819","MissingCpm","4487"
"15822","InternalServerError","690"
"15822","FailedToConvertPayloadToJsonArray","1"
"15822","UnsupportedHttpMethod","1"
"15824","InternalServerError","53"
"15827","InvalidIp","8"
"15831","FailedToConvertPayloadToJsonArray","304"
"15831","InternalServerError","29"
"15855","InvalidIp","22"
"15857","OutOfRangeCpm","8079"
"15864","FailedConvertPayloadToJson","5"
"15867","InvalidIp","115"
"15867","OutOfRangeCpm","43"
"15871","EmptyDataReceived","305464"
"15871","InvalidIp","37"
"15871","FailedConvertPayloadToJson","8"
"15871","OutOfRangeCpm","2"
"15882","InternalServerError","28"
"15899","UnknownCurrency","265918"
"15899","OutOfRangeCpm","46"
"15899","InternalServerError","9"
"15899","FailedToConvertPayloadToJsonArray","1"
"15903","InternalServerError","57"
"15903","FailedToConvertPayloadToJsonArray","3"
"15905","EmptyDataReceived","37375"
"15905","InvalidIp","49"
"15905","FailedConvertPayloadToJson","6"
"15927","OutOfRangeCpm","1557"
"15927","InternalServerError","549"
"15930","OutOfRangeCpm","120"
"15944","OutOfRangeCpm","5219"
"15945","EmptyDataReceived","16281"
"15945","InvalidIp","3"
"15946","UnsupportedHttpMethod","41"
"15948","InternalServerError","2"
"15958","MissingCpm","27"
"15958","InternalServerError","2"
"15959","InternalServerError","1"
"15979","MissingCurrency","1350"
"15979","UnsupportedHttpMethod","8"
"15979","InternalServerError","8"
"15979","FailedToConvertPayloadToJsonArray","1"
"16004","OutOfRangeCpm","15"
"16004","FailedConvertPayloadToJson","9"
,"PartnerIsNull","182522"
,"EmptyDataReceived","182437"
,"MissingImpressionsCountParamRequest","182436"
,"UnsupportedHttpMethod","3087"
,"FailedToConvertPayloadToJsonArray","26"
