"partnerId","violation","violation_count"
"15002","InvalidIp","275157"
"15002","FailedConvertPayloadToJson","14"
"15047","UnknownCurrency","3015364"
"15047","BadCpm","74"
"15047","FailedToConvertPayloadToJsonArray","1"
"15072","BadCpm","132"
"15072","InternalServerError","7"
"15072","UnsupportedHttpMethod","2"
"15127","BadCpm","5926"
"15127","FailedToConvertPayloadToJsonArray","5"
"15195","UnknownCurrency","30"
"15195","FailedToConvertPayloadToJsonArray","1"
"15281","InternalServerError","202"
"15281","FailedToConvertPayloadToJsonArray","3"
"15283","UnsupportedHttpMethod","71"
"15283","InternalServerError","10"
"15283","UnknownCurrency","4"
"15287","BadCpm","23"
"15318","InternalServerError","18"
"15328","EmptyDataReceived","10"
"15381","BadCpm","12"
"15381","FailedToConvertPayloadToJsonArray","3"
"15389","UnsupportedHttpMethod","234"
"15391","BadCpm","12459"
"15391","FailedToConvertPayloadToJsonArray","6"
"15398","FailedToConvertPayloadToJsonArray","3"
"15400","UnknownCurrency","1759"
"15579","UnknownCurrency","916578"
"15579","BadCpm","2582"
"15579","UnsupportedHttpMethod","44"
"15579","FailedToConvertPayloadToJsonArray","4"
"15579","InternalServerError","1"
"15605","EmptyDataReceived","296595"
"15605","ABIdentifiersAreBothMissing","5477"
"15605","InvalidIp","3048"
"15605","FailedConvertPayloadToJson","643"
"15605","BadCpm","1"
"15617","UnknownCurrency","382939"
"15617","BadCpm","391"
"15617","InternalServerError","3"
"15617","UnsupportedHttpMethod","1"
"15617","FailedToConvertPayloadToJsonArray","1"
"15623","BadCpm","49"
"15696","InternalServerError","20"
"15696","EmptyDataReceived","2"
"15717","FailedToConvertPayloadToJsonArray","1"
"15750","BadCpm","146577"
"15750","InternalServerError","1161"
"15750","FailedToConvertPayloadToJsonArray","10"
"15750","UnsupportedHttpMethod","5"
"15754","BadCpm","8739"
"15754","InternalServerError","3"
"15754","UnsupportedHttpMethod","2"
"15754","FailedToConvertPayloadToJsonArray","2"
"15777","UnknownCurrency","2"
"15777","BadCpm","1"
"15792","InternalServerError","4"
"15804","BadCpm","54"
"15804","EmptyDataReceived","49"
"15809","InternalServerError","7"
"15812","BadCpm","5"
"15814","MissingCurrency","597"
"15814","InternalServerError","169"
"15814","FailedToConvertPayloadToJsonArray","6"
"15814","UnsupportedHttpMethod","6"
"15819","MissingCpm","4002"
"15822","InternalServerError","436"
"15824","InternalServerError","35"
"15827","InvalidIp","6"
"15831","InternalServerError","28"
"15855","InvalidIp","34"
"15855","ABIdentifiersAreBothMissing","2"
"15857","BadCpm","19573"
"15864","FailedConvertPayloadToJson","20"
"15867","InvalidIp","165"
"15867","BadCpm","107"
"15871","EmptyDataReceived","318885"
"15871","InvalidIp","60"
"15871","FailedConvertPayloadToJson","9"
"15871","ABIdentifiersAreBothMissing","1"
"15882","InternalServerError","7"
"15899","UnknownCurrency","177809"
"15899","BadCpm","47"
"15899","UnsupportedHttpMethod","4"
"15899","InternalServerError","2"
"15903","InternalServerError","62"
"15905","EmptyDataReceived","35017"
"15905","ABIdentifiersAreBothMissing","743"
"15905","InvalidIp","53"
"15905","FailedConvertPayloadToJson","4"
"15927","BadCpm","150"
"15927","InternalServerError","14"
"15929","FailedConvertPayloadToJson","2"
"15929","UnknownReportType","2"
"15930","BadCpm","193"
"15934","BadCpm","10"
"15944","BadCpm","2762"
"15945","EmptyDataReceived","27026"
"15945","InvalidIp","2"
"15958","MissingCpm","27"
"15958","InternalServerError","5"
"15979","MissingCurrency","941"
"15979","UnsupportedHttpMethod","3"
"15979","InternalServerError","1"
,"PartnerIsNull","129906"
,"MissingImpressionsCountParamRequest","129847"
,"EmptyDataReceived","129847"
,"UnsupportedHttpMethod","2747"
,"FailedToConvertPayloadToJsonArray","41"
