"partnerId","violation","violation_count"
"15002","InvalidIp","221266"
"15002","FailedConvertPayloadToJson","13"
"15047","UnknownCurrency","4059676"
"15047","OutOfRangeCpm","117"
"15047","UnsupportedHttpMethod","19"
"15047","FailedToConvertPayloadToJsonArray","2"
"15072","InternalServerError","87"
"15072","OutOfRangeCpm","4"
"15072","UnsupportedHttpMethod","1"
"15127","OutOfRangeCpm","4692"
"15127","FailedToConvertPayloadToJsonArray","5"
"15127","UnsupportedHttpMethod","3"
"15195","FailedToConvertPayloadToJsonArray","3"
"15281","InternalServerError","201"
"15281","OutOfRangeCpm","6"
"15281","UnsupportedHttpMethod","6"
"15281","FailedToConvertPayloadToJsonArray","2"
"15283","UnsupportedHttpMethod","16"
"15283","UnknownCurrency","10"
"15283","InternalServerError","5"
"15287","OutOfRangeCpm","39"
"15299","FailedToConvertPayloadToJsonArray","1"
"15318","InternalServerError","29"
"15318","FailedToConvertPayloadToJsonArray","2"
"15318","UnsupportedHttpMethod","2"
"15381","OutOfRangeCpm","8"
"15381","FailedToConvertPayloadToJsonArray","1"
"15389","UnsupportedHttpMethod","69"
"15391","OutOfRangeCpm","4685"
"15391","FailedToConvertPayloadToJsonArray","5"
"15398","FailedToConvertPayloadToJsonArray","1"
"15400","UnknownCurrency","663"
"15400","FailedToConvertPayloadToJsonArray","2"
"15579","UnknownCurrency","80174"
"15579","OutOfRangeCpm","713"
"15605","EmptyDataReceived","254519"
"15605","InvalidIp","3309"
"15605","FailedConvertPayloadToJson","639"
"15617","UnknownCurrency","1638013"
"15617","OutOfRangeCpm","1605"
"15617","InternalServerError","21"
"15617","FailedToConvertPayloadToJsonArray","4"
"15623","OutOfRangeCpm","6"
"15672","FailedToConvertPayloadToJsonArray","17"
"15672","InternalServerError","3"
"15696","InternalServerError","4"
"15696","EmptyDataReceived","2"
"15739","UnsupportedHttpMethod","1"
"15750","OutOfRangeCpm","124332"
"15750","InternalServerError","1135"
"15750","UnsupportedHttpMethod","4"
"15750","FailedToConvertPayloadToJsonArray","1"
"15754","OutOfRangeCpm","9695"
"15754","InternalServerError","22"
"15777","UnknownCurrency","1"
"15792","EmptyDataReceived","5"
"15804","OutOfRangeCpm","28"
"15804","UnsupportedHttpMethod","16"
"15804","FailedToConvertPayloadToJsonArray","13"
"15804","EmptyDataReceived","5"
"15809","InternalServerError","38"
"15814","MissingCurrency","773"
"15814","InternalServerError","107"
"15814","FailedToConvertPayloadToJsonArray","7"
"15814","UnsupportedHttpMethod","4"
"15819","MissingCpm","4860"
"15822","InternalServerError","562"
"15822","FailedToConvertPayloadToJsonArray","1"
"15822","UnsupportedHttpMethod","1"
"15824","InternalServerError","31"
"15827","InvalidIp","2"
"15831","InternalServerError","50"
"15855","InvalidIp","16"
"15855","FailedConvertPayloadToJson","1"
"15857","OutOfRangeCpm","6991"
"15864","FailedConvertPayloadToJson","14"
"15867","OutOfRangeCpm","44"
"15867","InvalidIp","15"
"15871","EmptyDataReceived","379240"
"15871","InvalidIp","22"
"15871","FailedConvertPayloadToJson","7"
"15882","InternalServerError","37"
"15899","UnknownCurrency","271026"
"15899","OutOfRangeCpm","71"
"15899","InternalServerError","8"
"15903","InternalServerError","12"
"15905","EmptyDataReceived","38612"
"15905","InvalidIp","69"
"15905","FailedConvertPayloadToJson","5"
"15927","OutOfRangeCpm","1582"
"15927","InternalServerError","105"
"15930","OutOfRangeCpm","66"
"15944","OutOfRangeCpm","3908"
"15945","EmptyDataReceived","25061"
"15945","InvalidIp","3"
"15958","MissingCpm","25"
"15958","InternalServerError","6"
"15979","MissingCurrency","552"
"15979","UnsupportedHttpMethod","4"
"15979","FailedToConvertPayloadToJsonArray","1"
,"PartnerIsNull","138556"
,"EmptyDataReceived","138466"
,"MissingImpressionsCountParamRequest","138462"
,"UnsupportedHttpMethod","2547"
,"FailedToConvertPayloadToJsonArray","45"
