"partnerId","violation","violation_count"
"15047","UnknownCurrency","2356224"
"15579","UnknownCurrency","977128"
"15871","EmptyDataReceived","286141"
"15605","EmptyDataReceived","262375"
"15002","InvalidIp","253571"
"15754","BadCpm","241316"
"15899","UnknownCurrency","141742"
"15750","BadCpm","133999"
,"PartnerIsNull","133654"
,"EmptyDataReceived","133557"
,"MissingImpressionsCountParamRequest","133557"
"15905","EmptyDataReceived","51557"
"15945","EmptyDataReceived","26731"
"15857","BadCpm","26228"
"15617","UnknownCurrency","19365"
"15127","BadCpm","13334"
"15391","BadCpm","11460"
"15944","BadCpm","5701"
"15819","MissingCpm","5381"
,"UnsupportedHttpMethod","2979"
"15605","InvalidIp","2273"
"15827","FailedConvertPayloadToJson","2235"
"15579","BadCpm","1705"
"15750","InternalServerError","839"
"15814","MissingCurrency","645"
"15822","InternalServerError","499"
"15605","FailedConvertPayloadToJson","471"
"15389","UnsupportedHttpMethod","391"
"15605","ABIdentifiersAreBothMissing","355"
"15400","UnknownCurrency","318"
"15281","InternalServerError","160"
"15814","InternalServerError","159"
"15287","BadCpm","144"
"15927","BadCpm","143"
"15930","BadCpm","135"
"15824","InternalServerError","118"
"15804","BadCpm","115"
"15867","BadCpm","89"
"15867","InvalidIp","83"
"15864","FailedConvertPayloadToJson","83"
"15905","InvalidIp","62"
"15899","BadCpm","55"
"15804","EmptyDataReceived","52"
"15579","UnsupportedHttpMethod","51"
"15047","BadCpm","48"
"15831","InternalServerError","46"
,"FailedToConvertPayloadToJsonArray","46"
"15855","InvalidIp","43"
"15318","InternalServerError","36"
"15827","InvalidIp","34"
"15871","InvalidIp","33"
"15617","BadCpm","32"
"15002","FailedConvertPayloadToJson","28"
"15882","InternalServerError","28"
"15195","UnknownCurrency","25"
"15958","InternalServerError","19"
"15905","ABIdentifiersAreBothMissing","18"
"15696","InternalServerError","17"
"15814","UnsupportedHttpMethod","16"
"15154","UnsupportedHttpMethod","16"
"15927","InternalServerError","12"
"15127","FailedToConvertPayloadToJsonArray","9"
"15381","BadCpm","9"
"15809","InternalServerError","9"
"15871","FailedConvertPayloadToJson","9"
"15814","FailedToConvertPayloadToJsonArray","8"
"15754","InternalServerError","8"
"15945","InvalidIp","7"
"15905","FailedConvertPayloadToJson","7"
"15979","UnsupportedHttpMethod","7"
"15579","FailedToConvertPayloadToJsonArray","6"
"15281","FailedToConvertPayloadToJsonArray","5"
"15958","MissingCpm","5"
"15871","ABIdentifiersAreBothMissing","5"
"15864","ABIdentifiersAreBothMissing","4"
"15391","FailedToConvertPayloadToJsonArray","4"
"15903","InternalServerError","4"
"15283","InternalServerError","4"
"15283","UnsupportedHttpMethod","4"
"15804","FailedToConvertPayloadToJsonArray","3"
"15979","InternalServerError","3"
"15899","InternalServerError","3"
"15804","UnsupportedHttpMethod","3"
"15855","FailedConvertPayloadToJson","2"
"15398","FailedToConvertPayloadToJsonArray","2"
"15717","FailedToConvertPayloadToJsonArray","2"
"15943","InternalServerError","2"
"15623","BadCpm","2"
"15381","FailedToConvertPayloadToJsonArray","2"
"15754","UnsupportedHttpMethod","1"
"15824","UnsupportedHttpMethod","1"
"15195","FailedToConvertPayloadToJsonArray","1"
"15945","FailedConvertPayloadToJson","1"
"15822","UnsupportedHttpMethod","1"
"15857","UnsupportedHttpMethod","1"
"15792","EmptyDataReceived","1"
"15822","FailedToConvertPayloadToJsonArray","1"
"15903","UnsupportedHttpMethod","1"
"15348","FailedToConvertPayloadToJsonArray","1"
"15930","InvalidIp","1"
"15930","ABIdentifiersAreBothMissing","1"
"15754","FailedToConvertPayloadToJsonArray","1"
"15400","FailedToConvertPayloadToJsonArray","1"
"15391","UnknownCurrency","1"
"15127","UnsupportedHttpMethod","1"
"15903","FailedToConvertPayloadToJsonArray","1"
"15283","UnknownCurrency","1"
