"partnerId","violation","violation_count"
"15002","InvalidIp","245648"
"15002","FailedConvertPayloadToJson","19"
"15047","UnknownCurrency","3192465"
"15047","BadCpm","47"
"15047","UnsupportedHttpMethod","4"
"15047","FailedToConvertPayloadToJsonArray","1"
"15072","InternalServerError","29"
"15127","BadCpm","7039"
"15127","FailedToConvertPayloadToJsonArray","1"
"15195","FailedToConvertPayloadToJsonArray","2"
"15281","InternalServerError","270"
"15281","FailedToConvertPayloadToJsonArray","1"
"15283","InternalServerError","21"
"15283","UnsupportedHttpMethod","12"
"15287","BadCpm","16"
"15318","InternalServerError","38"
"15328","EmptyDataReceived","6"
"15381","BadCpm","14"
"15381","FailedToConvertPayloadToJsonArray","1"
"15389","UnsupportedHttpMethod","380"
"15391","BadCpm","6706"
"15391","FailedToConvertPayloadToJsonArray","4"
"15398","FailedToConvertPayloadToJsonArray","1"
"15400","UnknownCurrency","72"
"15400","FailedToConvertPayloadToJsonArray","3"
"15579","UnknownCurrency","1475551"
"15579","BadCpm","2205"
"15579","UnsupportedHttpMethod","93"
"15579","FailedToConvertPayloadToJsonArray","9"
"15579","InternalServerError","2"
"15605","EmptyDataReceived","284918"
"15605","InvalidIp","1568"
"15605","FailedConvertPayloadToJson","344"
"15605","ABIdentifiersAreBothMissing","287"
"15617","UnknownCurrency","28039"
"15617","BadCpm","48"
"15623","BadCpm","22"
"15696","InternalServerError","23"
"15750","BadCpm","137745"
"15750","InternalServerError","1258"
"15754","BadCpm","10928"
"15754","InternalServerError","30"
"15754","UnsupportedHttpMethod","1"
"15804","BadCpm","180"
"15804","EmptyDataReceived","2"
"15809","InternalServerError","23"
"15814","MissingCurrency","883"
"15814","InternalServerError","128"
"15814","FailedToConvertPayloadToJsonArray","12"
"15814","BadCpm","2"
"15814","UnsupportedHttpMethod","1"
"15819","MissingCpm","4893"
"15822","InternalServerError","640"
"15822","FailedToConvertPayloadToJsonArray","3"
"15824","InternalServerError","36"
"15827","FailedConvertPayloadToJson","300"
"15827","InvalidIp","37"
"15831","InternalServerError","32"
"15855","InvalidIp","13"
"15857","BadCpm","17239"
"15864","FailedConvertPayloadToJson","72"
"15867","InvalidIp","132"
"15867","BadCpm","85"
"15871","EmptyDataReceived","343440"
"15871","InvalidIp","27"
"15871","FailedConvertPayloadToJson","6"
"15871","ABIdentifiersAreBothMissing","2"
"15882","InternalServerError","22"
"15899","UnknownCurrency","179497"
"15899","BadCpm","65"
"15899","InternalServerError","6"
"15899","FailedToConvertPayloadToJsonArray","1"
"15903","InternalServerError","16"
"15905","EmptyDataReceived","56595"
"15905","InvalidIp","32"
"15905","ABIdentifiersAreBothMissing","17"
"15905","FailedConvertPayloadToJson","7"
"15927","BadCpm","211"
"15927","InternalServerError","67"
"15930","BadCpm","125"
"15934","BadCpm","9"
"15944","BadCpm","6357"
"15945","EmptyDataReceived","11085"
"15945","InvalidIp","1"
"15958","MissingCpm","20"
"15958","InternalServerError","16"
"15959","InternalServerError","2"
"15979","UnsupportedHttpMethod","6"
"15979","MissingCurrency","2"
"15979","FailedToConvertPayloadToJsonArray","1"
,"PartnerIsNull","157229"
,"EmptyDataReceived","157092"
,"MissingImpressionsCountParamRequest","157091"
,"UnsupportedHttpMethod","6568"
,"FailedToConvertPayloadToJsonArray","47"
