"partnerId","violation","violation_count"
"15002","InvalidIp","300568"
"15002","FailedConvertPayloadToJson","4"
"15047","UnknownCurrency","2187685"
"15047","BadCpm","79"
"15047","UnsupportedHttpMethod","8"
"15072","FailedToConvertPayloadToJsonArray","5"
"15072","InternalServerError","2"
"15106","BadCpm","6"
"15127","BadCpm","7998"
"15127","FailedToConvertPayloadToJsonArray","10"
"15127","UnsupportedHttpMethod","1"
"15154","UnsupportedHttpMethod","29"
"15154","FailedToConvertPayloadToJsonArray","1"
"15195","UnknownCurrency","62"
"15195","FailedToConvertPayloadToJsonArray","2"
"15195","UnsupportedHttpMethod","1"
"15281","InternalServerError","59"
"15281","FailedToConvertPayloadToJsonArray","2"
"15283","UnsupportedHttpMethod","11"
"15283","InternalServerError","9"
"15283","FailedToConvertPayloadToJsonArray","1"
"15287","BadCpm","121"
"15318","InternalServerError","34"
"15318","UnsupportedHttpMethod","1"
"15381","BadCpm","12"
"15381","FailedToConvertPayloadToJsonArray","2"
"15389","UnsupportedHttpMethod","233"
"15391","BadCpm","12531"
"15391","FailedToConvertPayloadToJsonArray","7"
"15391","UnsupportedHttpMethod","1"
"15391","UnknownCurrency","1"
"15398","FailedToConvertPayloadToJsonArray","2"
"15400","FailedToConvertPayloadToJsonArray","1"
"15579","UnknownCurrency","986970"
"15579","BadCpm","1706"
"15579","UnsupportedHttpMethod","51"
"15579","FailedToConvertPayloadToJsonArray","12"
"15579","InternalServerError","1"
"15605","EmptyDataReceived","350301"
"15605","InvalidIp","2833"
"15605","FailedConvertPayloadToJson","630"
"15605","ABIdentifiersAreBothMissing","485"
"15617","UnknownCurrency","18317"
"15617","BadCpm","38"
"15617","InternalServerError","3"
"15623","BadCpm","5"
"15668","BadCpm","15"
"15696","InternalServerError","28"
"15696","EmptyDataReceived","6"
"15750","BadCpm","141976"
"15750","InternalServerError","652"
"15750","UnsupportedHttpMethod","7"
"15754","BadCpm","369364"
"15754","InternalServerError","8"
"15754","UnsupportedHttpMethod","1"
"15792","FailedToConvertPayloadToJsonArray","1"
"15792","UnsupportedHttpMethod","1"
"15804","BadCpm","50"
"15809","InternalServerError","28"
"15814","InternalServerError","61"
"15814","FailedToConvertPayloadToJsonArray","8"
"15814","UnsupportedHttpMethod","3"
"15819","MissingCpm","5424"
"15822","InternalServerError","583"
"15824","InternalServerError","35"
"15827","FailedConvertPayloadToJson","315"
"15827","InvalidIp","12"
"15831","InternalServerError","19"
"15855","InvalidIp","18"
"15857","BadCpm","12596"
"15862","UnsupportedHttpMethod","1"
"15864","ABIdentifiersAreBothMissing","54"
"15864","FailedConvertPayloadToJson","5"
"15867","InvalidIp","144"
"15867","BadCpm","60"
"15871","EmptyDataReceived","18296"
"15871","InvalidIp","78"
"15871","FailedConvertPayloadToJson","11"
"15871","ABIdentifiersAreBothMissing","3"
"15871","BadCpm","1"
"15882","InternalServerError","30"
"15882","UnsupportedHttpMethod","1"
"15899","UnknownCurrency","127229"
"15899","BadCpm","44"
"15899","InternalServerError","3"
"15903","InternalServerError","25"
"15905","EmptyDataReceived","69300"
"15905","InvalidIp","61"
"15905","ABIdentifiersAreBothMissing","40"
"15905","FailedConvertPayloadToJson","3"
"15927","BadCpm","14"
"15930","BadCpm","70"
"15943","InternalServerError","1"
"15944","BadCpm","3109"
"15945","EmptyDataReceived","1236"
"15945","InvalidIp","3"
"15958","InternalServerError","28"
"15958","MissingCpm","17"
,"PartnerIsNull","141448"
,"MissingImpressionsCountParamRequest","141371"
,"EmptyDataReceived","141371"
,"UnsupportedHttpMethod","3242"
,"FailedToConvertPayloadToJsonArray","46"
