"partnerId","violation","violation_count"
"15047","UnknownCurrency","2654223"
"15579","UnknownCurrency","1266065"
"15871","EmptyDataReceived","347260"
"15605","EmptyDataReceived","272811"
"15002","InvalidIp","241215"
"15899","UnknownCurrency","183093"
,"PartnerIsNull","152200"
,"EmptyDataReceived","152022"
,"MissingImpressionsCountParamRequest","152022"
"15750","BadCpm","130447"
"15905","EmptyDataReceived","46494"
"15945","EmptyDataReceived","32050"
"15617","UnknownCurrency","24290"
"15857","BadCpm","23399"
"15754","BadCpm","9397"
"15127","BadCpm","7185"
"15944","BadCpm","6810"
"15391","BadCpm","5347"
"15819","MissingCpm","5024"
,"UnsupportedHttpMethod","2760"
"15605","InvalidIp","2727"
"15579","BadCpm","1966"
"15750","InternalServerError","1406"
"15814","MissingCurrency","1071"
"15605","FailedConvertPayloadToJson","609"
"15822","InternalServerError","518"
"15605","ABIdentifiersAreBothMissing","444"
"15281","InternalServerError","312"
"15864","FailedConvertPayloadToJson","289"
"15827","FailedConvertPayloadToJson","233"
"15927","BadCpm","150"
"15389","UnsupportedHttpMethod","118"
"15930","BadCpm","110"
"15831","FailedToConvertPayloadToJsonArray","108"
"15804","BadCpm","95"
"15814","InternalServerError","89"
"15579","UnsupportedHttpMethod","81"
"15905","InvalidIp","65"
"15867","BadCpm","65"
"15047","BadCpm","62"
"15400","UnknownCurrency","56"
"15899","BadCpm","53"
"15871","InvalidIp","51"
"15824","InternalServerError","46"
,"FailedToConvertPayloadToJsonArray","46"
"15867","InvalidIp","44"
"15927","InternalServerError","43"
"15831","InternalServerError","43"
"15283","InternalServerError","36"
"15855","InvalidIp","34"
"15318","InternalServerError","34"
"15903","InternalServerError","34"
"15121","FailedToConvertPayloadToJsonArray","33"
"15617","BadCpm","32"
"15287","BadCpm","30"
"15827","InvalidIp","29"
"15905","ABIdentifiersAreBothMissing","27"
"15002","FailedConvertPayloadToJson","22"
"15882","InternalServerError","22"
"15809","InternalServerError","19"
"15696","InternalServerError","19"
"15754","InternalServerError","18"
"15792","EmptyDataReceived","17"
"15391","UnknownCurrency","14"
"15381","BadCpm","11"
"15814","FailedToConvertPayloadToJsonArray","9"
"15792","InternalServerError","9"
"15871","FailedConvertPayloadToJson","9"
"15127","FailedToConvertPayloadToJsonArray","8"
"15623","BadCpm","7"
"15047","UnsupportedHttpMethod","6"
"15958","InternalServerError","6"
"15814","UnsupportedHttpMethod","6"
"15905","FailedConvertPayloadToJson","6"
"15958","MissingCpm","6"
"15195","FailedToConvertPayloadToJsonArray","5"
"15658","InternalServerError","4"
"15945","InvalidIp","4"
"15804","EmptyDataReceived","4"
"15328","EmptyDataReceived","4"
"15579","FailedToConvertPayloadToJsonArray","3"
"15283","UnsupportedHttpMethod","3"
"15864","ABIdentifiersAreBothMissing","3"
"15318","UnsupportedHttpMethod","3"
"15318","FailedToConvertPayloadToJsonArray","3"
"15154","FailedToConvertPayloadToJsonArray","3"
"15072","InternalServerError","2"
"15822","FailedToConvertPayloadToJsonArray","2"
"15899","InternalServerError","2"
"15814","BadCpm","2"
"15398","FailedToConvertPayloadToJsonArray","2"
"15855","FailedConvertPayloadToJson","2"
"15127","UnsupportedHttpMethod","2"
"15857","UnsupportedHttpMethod","2"
"15391","FailedToConvertPayloadToJsonArray","2"
"15381","FailedToConvertPayloadToJsonArray","2"
"15750","UnsupportedHttpMethod","2"
"15943","InternalServerError","1"
"15399","UnknownCurrency","1"
"15617","UnsupportedHttpMethod","1"
"15804","UnsupportedHttpMethod","1"
"15871","ABIdentifiersAreBothMissing","1"
"15819","InternalServerError","1"
"15283","UnknownCurrency","1"
"15945","FailedConvertPayloadToJson","1"
"15804","FailedToConvertPayloadToJsonArray","1"
"15754","UnsupportedHttpMethod","1"
"15717","FailedToConvertPayloadToJsonArray","1"
"15979","InternalServerError","1"
